event_id,event_start,event_end,n_sensors,equipment_id,rows,sensor_start,sensor_end
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,565,31,2025-05-29T08:10:00,2025-05-29T13:10:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,567,35,2025-05-29T08:10:00,2025-05-29T13:50:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,1025,29,2025-05-29T08:10:00,2025-05-29T12:50:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,1028,34,2025-05-29T08:10:00,2025-05-29T13:40:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,563,31,2025-05-29T08:20:00,2025-05-29T13:20:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,1024,30,2025-05-29T08:20:00,2025-05-29T13:10:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,1027,30,2025-05-29T08:20:00,2025-05-29T13:10:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,1026,30,2025-05-29T08:20:00,2025-05-29T13:10:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,562,29,2025-05-29T08:30:00,2025-05-29T13:10:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,564,29,2025-05-29T08:40:00,2025-05-29T13:20:00
E1,2025-05-29T08:10:00,2025-05-29T13:50:00,11,568,28,2025-05-29T08:40:00,2025-05-29T13:10:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,1028,8,2025-05-30T10:00:00,2025-05-30T11:10:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,563,6,2025-05-30T10:30:00,2025-05-30T11:20:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,565,5,2025-05-30T10:30:00,2025-05-30T11:10:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,567,5,2025-05-30T10:30:00,2025-05-30T11:10:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,1024,5,2025-05-30T10:30:00,2025-05-30T11:10:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,562,5,2025-05-30T10:40:00,2025-05-30T11:20:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,1025,4,2025-05-30T10:40:00,2025-05-30T11:10:00
E2,2025-05-30T10:00:00,2025-05-30T11:50:00,8,1027,8,2025-05-30T10:40:00,2025-05-30T11:50:00
E3,2025-05-30T11:30:00,2025-05-30T12:20:00,1,565,6,2025-05-30T11:30:00,2025-05-30T12:20:00
